category,commonMistakes,description,difficulty,equipment,force,gifUrl,id,imageUrl,instructions,isEnriched,mechanic,name,nameHi,nameHindi,nameMarathi,nameMr,overview,primaryMuscles,safetyTips,secondaryMuscles,source,videoUrl
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,body only,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternate%20Heel%20Touchers.gif,yuhonas_Alternate_Heel_Touchers,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Heel_Touchers/0.jpg,"Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.; Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.; Now go back slowly to the starting position as you inhale.; Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition.; Continue alternating sides in this manner until all prescribed repetitions are done.",,isolation,Alternate Heel Touchers,,Alternate Heel Touchers,Alternate Heel Touchers,,,abdominals,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Swinging the body; Using momentum; Not full range of motion,,beginner,dumbbell,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternate%20Incline%20Dumbbell%20Curl.gif,yuhonas_Alternate_Incline_Dumbbell_Curl,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Incline_Dumbbell_Curl/0.jpg,"Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position.; While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.; Slowly begin to bring the dumbbell back to starting position as your breathe in.; Repeat the movement with the left hand. This equals one repetition.; Continue alternating in this manner for the recommended amount of repetitions.",,isolation,Alternate Incline Dumbbell Curl,,Alternate Incline Dumbbell Curl,Alternate Incline Dumbbell Curl,,,biceps,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,forearms,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternate%20Leg%20Diagonal%20Bound.gif,yuhonas_Alternate_Leg_Diagonal_Bound,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Leg_Diagonal_Bound/0.jpg,"Assume a comfortable stance with one foot slightly in front of the other.; Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound.; It may help to use a line on the ground to guage distance from side to side.; Repeat the sequence with the other leg.",,compound,Alternate Leg Diagonal Bound,,Alternate Leg Diagonal Bound,Alternate Leg Diagonal Bound,,,quadriceps,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; adductors; calves; glutes; hamstrings,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,beginner,cable,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Cable%20Shoulder%20Press.gif,yuhonas_Alternating_Cable_Shoulder_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Cable_Shoulder_Press/0.jpg,"Move the cables to the bottom of the tower and select an appropriate weight.; Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position.; Keeping your head and chest up, extend through the elbow to press one side directly over head.; After pausing at the top, return to the starting position and repeat on the opposite side.",,compound,Alternating Cable Shoulder Press,,Alternating Cable Shoulder Press,Alternating Cable Shoulder Press,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,dumbbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Deltoid%20Raise.gif,yuhonas_Alternating_Deltoid_Raise,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Deltoid_Raise/0.jpg,"In a standing position, hold a pair of dumbbells at your side.; Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating.; Return the weights to your side.; On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height.; Return the weights to the starting position and continue alternating to the front and side.",,isolation,Alternating Deltoid Raise,,Alternating Deltoid Raise,Alternating Deltoid Raise,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,beginner,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Floor%20Press.gif,yuhonas_Alternating_Floor_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Floor_Press/0.jpg,"Lie on the floor with two kettlebells next to your shoulders.; Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward.; Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell.; Raise the kettlebell and repeat on the opposite side.",,compound,Alternating Floor Press,,Alternating Floor Press,Alternating Floor Press,,,chest,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals; shoulders; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Hang%20Clean.gif,yuhonas_Alternating_Hang_Clean,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Hang_Clean/0.jpg,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.; Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.; Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.",,compound,Alternating Hang Clean,,Alternating Hang Clean,Alternating Hang Clean,,,hamstrings,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,biceps; calves; forearms; glutes; lower back; traps,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Kettlebell%20Press.gif,yuhonas_Alternating_Kettlebell_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Kettlebell_Press/0.jpg,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.; Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary .; Lower the pressed kettlebell to the starting position and immediately press with your other arm.",,compound,Alternating Kettlebell Press,,Alternating Kettlebell Press,Alternating Kettlebell Press,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Kettlebell%20Row.gif,yuhonas_Alternating_Kettlebell_Row,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Kettlebell_Row/0.jpg,"Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.; Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage.; Lower the kettlebell in the working arm and repeat with your other arm.",,isolation,Alternating Kettlebell Row,,Alternating Kettlebell Row,Alternating Kettlebell Row,,,middle back,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,biceps; lats,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,expert,kettlebells,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternating%20Renegade%20Row.gif,yuhonas_Alternating_Renegade_Row,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Renegade_Row/0.jpg,"Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support.; Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side.; Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps.",,compound,Alternating Renegade Row,,Alternating Renegade Row,Alternating Renegade Row,,,middle back,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals; biceps; chest; lats; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Ankle%20Circles.gif,yuhonas_Ankle_Circles,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ankle_Circles/0.jpg,"Use a sturdy object like a squat rack to hold yourself.; Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.; When you are done with the right foot, then repeat with the left leg.",,isolation,Ankle Circles,,Ankle Circles,Ankle Circles,,,calves,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Ankle%20On%20The%20Knee.gif,yuhonas_Ankle_On_The_Knee,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ankle_On_The_Knee/0.jpg,"From a lying position, bend your knees and keep your feet on the floor.; Place your ankle of one foot on your opposite knee.; Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.",,Compound,Ankle On The Knee,,Ankle On The Knee,Ankle On The Knee,,,glutes,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,other,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Anterior%20Tibialis-SMR.gif,yuhonas_Anterior_Tibialis-SMR,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Anterior_Tibialis-SMR/0.jpg,"Begin seated on the ground with your legs bent and your feet on the floor.; Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.",,Compound,Anterior Tibialis-SMR,,Anterior Tibialis-SMR,Anterior Tibialis-SMR,,,calves,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,beginner,barbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Anti-Gravity%20Press.gif,yuhonas_Anti-Gravity_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Anti-Gravity_Press/0.jpg,"Place a bar on the ground behind the head of an incline bench.; Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position.; To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement.; Return to the starting position and repeat to complete the set.",,compound,Anti-Gravity Press,,Anti-Gravity Press,Anti-Gravity Press,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,middle back; traps; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Arm%20Circles.gif,yuhonas_Arm_Circles,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arm_Circles/0.jpg,"Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.; Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.; Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.",,isolation,Arm Circles,,Arm Circles,Arm Circles,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,traps,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,intermediate,dumbbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Arnold%20Dumbbell%20Press.gif,yuhonas_Arnold_Dumbbell_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arnold_Dumbbell_Press/0.jpg,"Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl.; Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward.; Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement.; After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement.; Repeat for the recommended amount of repetitions.",,compound,Arnold Dumbbell Press,,Arnold Dumbbell Press,Arnold Dumbbell Press,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,dumbbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Around%20The%20Worlds.gif,yuhonas_Around_The_Worlds,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Around_The_Worlds/0.jpg,"Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position.; Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement.; Reverse the movement to return the weight to the starting position as you exhale.",,compound,Around The Worlds,,Around The Worlds,Around The Worlds,,,chest,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,shoulders,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,other,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Atlas%20Stone%20Trainer.gif,yuhonas_Atlas_Stone_Trainer,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Atlas_Stone_Trainer/0.jpg,"This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe.; Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips.; Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest.; Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.",,compound,Atlas Stone Trainer,,Atlas Stone Trainer,Atlas Stone Trainer,,,lower back,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,biceps; forearms; glutes; hamstrings; quadriceps,yuhonas/free-exercise-db,
